epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.555,1.05999,1.78258,1.54427,0.52514,0.40558,0.41944,0.17355,2.07684,2.42941,1.80547,0.000990365,0.000990365,0.000990365
43,229.746,1.01101,1.75811,1.51745,0.72177,0.44,0.48459,0.23338,1.90892,2.36921,1.71704,0.000973861,0.000973861,0.000973861
44,234.82,1.03399,1.76796,1.53792,0.58663,0.44444,0.4576,0.19183,1.86282,2.60859,1.60648,0.000957358,0.000957358,0.000957358
45,239.957,1.01937,1.65879,1.53696,0.76942,0.39899,0.47178,0.20001,1.85904,2.33459,1.61638,0.000940855,0.000940855,0.000940855
46,245.136,0.97475,1.60294,1.47046,0.54205,0.4899,0.42162,0.19853,2.07429,2.36183,1.73241,0.000924352,0.000924352,0.000924352
47,250.141,1.02697,1.69368,1.52751,0.58047,0.49495,0.50184,0.22014,1.84885,2.29754,1.62894,0.000907848,0.000907848,0.000907848
48,254.951,0.96762,1.54735,1.47293,0.5029,0.5,0.4932,0.22906,1.85134,2.24768,1.60165,0.000891345,0.000891345,0.000891345
49,260.13,0.97574,1.68549,1.50257,0.58529,0.54545,0.53063,0.2731,1.87554,2.2373,1.66414,0.000874842,0.000874842,0.000874842
50,265.359,0.97128,1.67614,1.47616,0.63278,0.50995,0.53049,0.25439,1.84399,2.29363,1.62696,0.000858338,0.000858338,0.000858338
51,270.427,0.9377,1.52099,1.45173,0.58997,0.54799,0.53234,0.24091,1.85468,2.22346,1.60576,0.000841835,0.000841835,0.000841835
52,275.505,1.00781,1.70176,1.4528,0.71486,0.57502,0.59165,0.29685,1.73166,1.98488,1.52535,0.000825332,0.000825332,0.000825332
53,280.506,0.97175,1.55574,1.45642,0.80292,0.43939,0.55034,0.29875,1.64768,2.0385,1.41437,0.000808828,0.000808828,0.000808828
54,285.59,0.9461,1.52611,1.42501,0.73738,0.5714,0.59462,0.31929,1.72359,2.08124,1.48213,0.000792325,0.000792325,0.000792325
55,290.704,0.89906,1.43848,1.47591,0.74884,0.49834,0.54062,0.28253,1.76603,2.10477,1.56616,0.000775822,0.000775822,0.000775822
56,295.827,0.93338,1.46279,1.44123,0.56634,0.57702,0.52954,0.27394,1.7083,2.13879,1.58877,0.000759318,0.000759318,0.000759318
